intervention,channel,decode_step,tree_depth,js,max_abs_delta,baseline_argmax,pulse_argmax,branch_flip,baseline_entropy,pulse_entropy
base:uniform-gain:eps-0.10,base,5,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base:uniform-gain:eps-0.10,base,5,2,0.00015778979286551476,0.01765844225883484,0,0,0,0.6890344023704529,0.6851944327354431
base:uniform-gain:eps-0.10,base,5,3,0.0004019124899059534,0.026956677436828613,2,2,0,1.053797960281372,1.0535629987716675
base:uniform-gain:eps-0.10,base,5,4,0.00043267884757369757,0.019779890775680542,1,1,0,1.6563072204589844,1.653599500656128
base:uniform-gain:eps-0.10,base,5,5,0.00043326456216163933,0.01455242931842804,2,2,0,2.301750659942627,2.2944860458374023
base:uniform-gain:eps-0.10,base,6,0,0.0,0.0,0,0,0,-0.0,-0.0
base:uniform-gain:eps-0.10,base,6,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base:uniform-gain:eps-0.10,base,6,2,0.000315140001475811,0.025048285722732544,0,0,0,0.6923111081123352,0.689002513885498
base:uniform-gain:eps-0.10,base,6,3,0.00044013941078446805,0.025048285722732544,2,2,0,1.0525593757629395,1.0671082735061646
base:uniform-gain:eps-0.10,base,6,4,0.0004677957622334361,0.018491923809051514,5,5,0,1.6711277961730957,1.6819067001342773
base:uniform-gain:eps-0.10,base,6,5,0.0004690233326982707,0.012074202299118042,2,2,0,2.3368308544158936,2.3443257808685303
base:uniform-gain:eps-0.10,base,7,0,0.0,0.0,0,0,0,-0.0,-0.0
base:uniform-gain:eps-0.10,base,7,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base:uniform-gain:eps-0.10,base,7,2,3.641354851424694e-06,0.0024463534355163574,0,0,0,0.6086922883987427,0.6065754294395447
base:uniform-gain:eps-0.10,base,7,3,0.00011469237506389618,0.013737350702285767,0,0,0,1.0854361057281494,1.0803053379058838
base:uniform-gain:eps-0.10,base,7,4,0.00013466167729347944,0.007731400430202484,1,1,0,1.7331006526947021,1.729820966720581
base:uniform-gain:eps-0.10,base,7,5,0.0001372028491459787,0.007259964942932129,2,2,0,2.3553595542907715,2.348583698272705
base:uniform-gain:eps-0.10,base,8,0,0.0,0.0,0,0,0,-0.0,-0.0
base:uniform-gain:eps-0.10,base,8,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base:uniform-gain:eps-0.10,base,8,2,1.4959718100726604e-05,0.004863321781158447,0,0,0,0.585580587387085,0.5807413458824158
