intervention,channel,decode_step,tree_depth,js,max_abs_delta,baseline_argmax,pulse_argmax,branch_flip,baseline_entropy,pulse_entropy
base-coord0-eps+0.1,base,4,4,1.8710066797211766e-05,0.002682417631149292,2,2,0,1.7079049348831177,1.7076830863952637
base-coord0-eps+0.1,base,4,5,1.8710532458499074e-05,0.0018488764762878418,4,4,0,2.323660135269165,2.3231356143951416
base-coord0-eps+0.1,base,5,0,0.0,0.0,0,0,0,-0.0,-0.0
base-coord0-eps+0.1,base,5,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base-coord0-eps+0.1,base,5,2,3.816676326096058e-06,0.0023474693298339844,0,0,0,0.5436118841171265,0.5463852286338806
base-coord0-eps+0.1,base,5,3,7.582624675706029e-06,0.0034982264041900635,1,1,0,1.0737783908843994,1.0746631622314453
base-coord0-eps+0.1,base,5,4,7.714726962149143e-06,0.002310037612915039,1,1,0,1.718468189239502,1.7194905281066895
base-coord0-eps+0.1,base,5,5,7.78987305238843e-06,0.0016019344329833984,3,3,0,2.328511953353882,2.3294267654418945
base-coord0-eps+0.1,base,6,0,0.0,0.0,0,0,0,-0.0,-0.0
base-coord0-eps+0.1,base,6,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base-coord0-eps+0.1,base,6,2,7.314665708690882e-07,0.0009369254112243652,0,0,0,0.4505731463432312,0.45207786560058594
base-coord0-eps+0.1,base,6,3,1.431384589523077e-06,0.0016231536865234375,0,0,0,1.011746883392334,1.0130438804626465
base-coord0-eps+0.1,base,6,4,1.975438863155432e-06,0.0010360479354858398,1,1,0,1.6587910652160645,1.659677267074585
base-coord0-eps+0.1,base,6,5,2.021508407779038e-06,0.0007958784699440002,3,3,0,2.227552652359009,2.228292226791382
base-coord0-eps+0.1,base,7,0,0.0,0.0,0,0,0,-0.0,-0.0
base-coord0-eps+0.1,base,7,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base-coord0-eps+0.1,base,7,2,5.606736522167921e-06,0.0026911497116088867,0,0,0,0.501283586025238,0.5049810409545898
base-coord0-eps+0.1,base,7,3,8.698203600943089e-06,0.0035258829593658447,1,1,0,1.0551543235778809,1.0568745136260986
base-coord0-eps+0.1,base,7,4,1.1695476132445037e-05,0.0019314289093017578,1,1,0,1.6177887916564941,1.6185166835784912
base-coord0-eps+0.1,base,7,5,1.173635246232152e-05,0.001159757375717163,3,3,0,2.2255420684814453,2.225764274597168
base-coord0-eps+0.1,base,8,0,0.0,0.0,0,0,0,-0.0,-0.0
base-coord0-eps+0.1,base,8,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base-coord0-eps+0.1,base,8,2,2.509303158149123e-06,0.0017095208168029785,0,0,0,0.4689561128616333,0.47155696153640747
base-coord0-eps+0.1,base,8,3,5.516805686056614e-06,0.0030848681926727295,1,1,0,1.0383914709091187,1.039743185043335
base-coord0-eps+0.1,base,8,4,5.546055035665631e-06,0.0027626454830169678,1,1,0,1.5958952903747559,1.5983364582061768
