held_out_family,feature,auroc,average_precision,balanced_accuracy,score_gap,finite,active_features,shuffled_auroc_mean,shuffled_auroc_max
technical,d6:read_facing:root,0.465625,0.5022103625832245,0.46249999999999997,-0.006754490045401684,True,640,0.4925,0.6925
technical,d6:read_facing:middle,0.41,0.4672435900823112,0.4625,-0.1623957239806693,True,640,0.47787499999999994,0.603125
technical,d6:read_facing:leaf,0.46125,0.47202419979451343,0.4625,-0.09723955574491894,True,640,0.44749999999999995,0.554375
technical,d7:fold:root,0.405,0.5111552930918968,0.45,-0.15262935441672942,True,640,0.468875,0.538125
technical,d7:fold:middle,0.408125,0.4933200924856753,0.375,-0.15719691367949867,True,640,0.460375,0.523125
technical,d7:fold:leaf,0.398125,0.4580020477820108,0.475,-0.21443004108847913,True,640,0.4615,0.530625
technical,d7:read_facing:root,0.419375,0.45216701203133525,0.4625,-0.19814574798186094,True,640,0.49087500000000006,0.5525
technical,d7:read_facing:middle,0.44375,0.4850092999400443,0.44999999999999996,-0.17213989525980666,True,640,0.49474999999999997,0.598125
technical,d7:read_facing:leaf,0.398125,0.4580020477820108,0.475,-0.21443004108847913,True,640,0.4615,0.530625
abstract,input_bow,0.59125,0.5907964429717003,0.5874999999999999,0.02358286192603254,True,3328,0.457625,0.553125
abstract,d5:fold:root,0.54875,0.6113975629465396,0.55,0.0969854322928404,True,640,0.45875000000000005,0.485625
abstract,d5:fold:middle,0.555625,0.62030525921528,0.55,0.09660622777661726,True,640,0.45899999999999996,0.480625
abstract,d5:fold:leaf,0.516875,0.5658890359006661,0.525,-0.006270921133823049,True,640,0.46175000000000005,0.505
abstract,d5:read_facing:root,0.62875,0.6329029335178855,0.6125,0.226413734917289,True,640,0.44725000000000004,0.486875
abstract,d5:read_facing:middle,0.556875,0.5659080707188628,0.4875,0.17084972804213439,True,640,0.46475,0.56
abstract,d5:read_facing:leaf,0.516875,0.5658890359006661,0.525,-0.006270921133823049,True,640,0.46175000000000005,0.505
abstract,d6:fold:root,0.5525,0.5873644417333874,0.5375,0.11232796483210239,True,640,0.45199999999999996,0.46375
abstract,d6:fold:middle,0.5525,0.5867571695457798,0.55,0.10128764692921724,True,640,0.45737500000000003,0.48875
abstract,d6:fold:leaf,0.544375,0.6066401169961748,0.5375,0.09922549276085332,True,640,0.45875000000000005,0.508125
abstract,d6:read_facing:root,0.575625,0.6120534536976925,0.575,0.1697654911657126,True,640,0.469,0.51375
abstract,d6:read_facing:middle,0.49125,0.539762342506252,0.5,-0.006490945475087884,True,640,0.49474999999999997,0.550625
abstract,d6:read_facing:leaf,0.544375,0.6066401169961748,0.5375,0.09922549276085332,True,640,0.45875000000000005,0.508125
abstract,d7:fold:root,0.54875,0.6242611618716079,0.55,0.08136772499442346,True,640,0.47450000000000003,0.52
abstract,d7:fold:middle,0.485,0.5521620663240371,0.525,-0.05363146502092342,True,640,0.48587499999999995,0.519375
abstract,d7:fold:leaf,0.474375,0.5519847840211198,0.5,-0.04401828757339471,True,640,0.4955000000000001,0.52875
abstract,d7:read_facing:root,0.555,0.5841105059316657,0.5625,0.11049517382826679,True,640,0.507625,0.635
abstract,d7:read_facing:middle,0.57875,0.5911118238637565,0.5874999999999999,0.19084272362385546,True,640,0.487125,0.568125
abstract,d7:read_facing:leaf,0.474375,0.5519847840211198,0.5,-0.04401828757339471,True,640,0.4955000000000001,0.52875
press,input_bow,0.5275,0.5602173039632048,0.5,0.018306559450065985,True,3361,0.502,0.583125
press,d5:fold:root,0.43375,0.4941076861563004,0.4375,-0.06780350165692678,True,640,0.485375,0.5775
press,d5:fold:middle,0.399375,0.44980172523947176,0.4,-0.1380645375756589,True,640,0.48987500000000006,0.593125
press,d5:fold:leaf,0.465625,0.46788928155813914,0.4875,-0.05111538706472024,True,640,0.47887499999999994,0.584375
press,d5:read_facing:root,0.560625,0.5568584714383197,0.5375,0.112083776353962,True,640,0.46299999999999997,0.520625
press,d5:read_facing:middle,0.505625,0.5627038057775804,0.5,0.03701908085276634,True,640,0.504875,0.57
press,d5:read_facing:leaf,0.465625,0.46788928155813914,0.4875,-0.05111538706472024,True,640,0.47887499999999994,0.584375
press,d6:fold:root,0.5575,0.6178449888507125,0.5125,0.13391681469777322,True,640,0.47162499999999996,0.565
press,d6:fold:middle,0.5725,0.6037341349519542,0.5375000000000001,0.1291561364823377,True,640,0.46275000000000005,0.540625
press,d6:fold:leaf,0.566875,0.5816504271365222,0.5625,0.12182100781859273,True,640,0.468625,0.520625
press,d6:read_facing:root,0.58,0.5727063876746481,0.5375,0.1313319233303336,True,640,0.43724999999999997,0.454375
press,d6:read_facing:middle,0.52625,0.5375269861952617,0.525,0.06045528141235418,True,640,0.5025,0.561875
press,d6:read_facing:leaf,0.566875,0.5816504271365222,0.5625,0.12182100781859273,True,640,0.468625,0.520625
press,d7:fold:root,0.596875,0.6726331047829024,0.575,0.20359021166654473,True,640,0.45437500000000003,0.500625
press,d7:fold:middle,0.615625,0.6456258342733884,0.5625,0.20335721158147213,True,640,0.4645,0.52125
press,d7:fold:leaf,0.618125,0.6532244468654742,0.55,0.21452197098781128,True,640,0.46624999999999994,0.5225
press,d7:read_facing:root,0.626875,0.6408715550491808,0.6125,0.34919538735410444,True,640,0.425625,0.48875
press,d7:read_facing:middle,0.59875,0.608509432641014,0.575,0.21247846009608234,True,640,0.45725,0.523125
press,d7:read_facing:leaf,0.618125,0.6532244468654742,0.55,0.21452197098781128,True,640,0.46624999999999994,0.5225
force,input_bow,0.549375,0.5211895718205943,0.525,0.02391445068439435,True,3301,0.462,0.495
force,d5:fold:root,0.58375,0.6016050182664568,0.6000000000000001,0.18768149447783233,True,640,0.493375,0.590625
force,d5:fold:middle,0.6125,0.6361809888672803,0.5875,0.2350017242803174,True,640,0.48150000000000004,0.5875
force,d5:fold:leaf,0.561875,0.6211640812661378,0.5625,0.15437581586461346,True,640,0.47687500000000005,0.545
force,d5:read_facing:root,0.606875,0.6146362278093109,0.5375,0.26752880671648316,True,640,0.458125,0.631875
force,d5:read_facing:middle,0.596875,0.6460674697957133,0.55,0.20733150776525078,True,640,0.4925,0.57
force,d5:read_facing:leaf,0.561875,0.6211640812661378,0.5625,0.15437581586461346,True,640,0.47687500000000005,0.545
force,d6:fold:root,0.540625,0.5504019920266068,0.525,0.05919650350547023,True,640,0.509,0.611875
force,d6:fold:middle,0.545625,0.5734901960654964,0.5625,0.07882441608955315,True,640,0.499125,0.596875
force,d6:fold:leaf,0.526875,0.5361295117176279,0.5375,0.04499174334946343,True,640,0.4995,0.586875
force,d6:read_facing:root,0.530625,0.5775631371003598,0.5,0.060077985532663414,True,640,0.43425,0.508125
